customer_id,company_name,company_size_headcount,segment,revenue_band_gbp,industry_vertical,industry_sub_vertical,hq_region,num_sites,num_countries,ownership_type,parent_group_structure,regulatory_regime,ma_activity_flag_12m,leadership_change_flag_12m,funding_stage,employee_growth_rate_yoy,remote_hybrid_ratio,owns_sdwan,owns_swg,owns_fwaas,owns_casb,owns_ztna,owns_dlp,owns_dem,owns_browser_isolation,owns_email_security,owns_cspm,owns_sspm,owns_sandboxing_atp,owns_mdr,primary_vendor,multi_vendor_flag,deployment_model,contract_value_gbp,contract_length_months,months_since_contract_start,months_until_renewal,num_active_skus,bundle_vs_ala_carte,product_adoption_rate,feature_adoption_rate,concurrent_users_pct,licensed_vs_active_seats_ratio,bandwidth_utilisation_trend,peak_vs_avg_usage_ratio,policy_rule_count,api_usage_volume,admin_login_frequency,num_active_admins,unused_license_pct,overage_incidents_12m,mobile_remote_endpoint_ratio,cloud_app_usage_volume,shadow_it_events_12m,genai_llm_traffic_volume,api_integration_count,config_drift_events,throughput_growth_rate,self_service_portal_logins,support_tickets_last_12m,avg_ticket_severity,ticket_resolution_time_avg_hrs,repeat_ticket_rate,escalation_count_12m,sla_breach_count_12m,nps_score,csat_score,qbr_frequency,days_since_last_qbr,days_since_last_exec_touchpoint,onboarding_completion_days,time_to_first_value_days,security_incidents_last_12m,incident_severity_distribution,breach_risk_score,threats_blocked_trend,false_positive_rate,mean_time_to_detect_hrs,mean_time_to_respond_hrs,phishing_sim_click_rate,vuln_scan_findings_trend,compliance_audit_findings,cyber_insurance_renewal_flag,peer_breach_disclosure_flag,acv_trend_pct,payment_on_time_pct,discount_level_pct,upsell_history_count_24m,downsell_history_count_24m,negotiation_intensity_flag,budget_cycle_month,procurement_complexity_flag,multi_year_commitment_flag,competitive_rfp_flag_12m,champion_identified_flag,champion_seniority_level,num_engaged_stakeholders,decision_maker_turnover_12m,exec_sponsor_engagement_level,tech_vs_business_buyer_ratio,account_team_tenure_months,cross_sell_conversation_count,reference_willingness_flag,event_webinar_attendance_12m,industry_avg_adoption_rate,peer_cohort_penetration_pct,industry_regulatory_pressure_trend,industry_threat_landscape_severity,competitor_product_presence_flag,industry_ma_consolidation_trend,industry_cloud_migration_maturity,industry_remote_work_trend,recent_funding_round_flag,recent_breach_disclosed_flag,security_it_hiring_signal,cloud_migration_announcement_flag,digital_transformation_flag,expansion_announcement_flag,regulatory_investigation_flag,security_leadership_hire_flag,tech_stack_change_signal,esg_certification_pursuit_flag,website_product_page_visits,content_downloads_12m,webinar_registrations_12m,email_engagement_rate,rep_touch_frequency,proposal_quote_requests_12m,competitor_comparison_page_visits,pricing_page_visits,adoption_rate_trend_3m,adoption_rate_trend_12m,ticket_volume_trend,usage_trend_6m,nps_trend,security_incident_trend,seasonality_adjusted_usage,days_since_last_product_addition,upsell_velocity,renewal_risk_trajectory,engagement_recency_decay_score,churn_risk_flag,upsell_target_ngfw,upsell_target_ztna,upsell_target_dlp,upsell_target_casb,upsell_target_dem,upsell_target_browser,upsell_target_email_sec,upsell_target_cspm,upsell_target_mdr
1,Meridian Holdings,113,SMB,5100000,Legal,Legal - Sub2,Wales,1,1,Private,Standalone,GDPR,No,No,Post-IPO,2.6,46.5,0,0,0,0,0,1,0,0,1,0,0,0,0,Palo Alto Networks,No,Fully Managed,19700,24,22,2,4,A la carte,52.8,32.5,22.4,1.49,7.7,1.78,49,264,21,1,54.7,1,54.6,93,14,50,5,3,-22.1,7,17,Medium,1.0,16.3,1,1,30,50.5,Quarterly,63,18,28,61,5,Mixed,5,38.6,0.0,7.51,13.59,27.0,-2.6,2,Yes,Yes,14.3,71.5,20.1,1,0,Medium,Oct,Low,No,No,Yes,Director,5,Yes,None,2.23,8,1,Yes,2,46.8,68.6,Increasing,Medium,Unknown,Low,57.3,Stable,No,Yes,None,Yes,No,Yes,No,No,No,No,1,0,0,35.0,6,0,1,1,-2.9,-10.1,0.3,4.8,-5.4,3.1,7.1,69,23.3,Stable,65.9,No,0,1,0,0,1,0,0,1,0
2,Meridian Group,348,Mid-Market,11900000,Energy,Energy - Sub3,North West,2,1,Private,Subsidiary,GDPR,No,No,N/A,-0.5,22.5,0,0,1,0,1,1,0,0,1,0,0,0,0,Cato Networks,Yes,Fully Managed,51400,12,58,9,5,Bundle,29.7,18.0,78.4,1.42,2.7,2.74,62,9,4,1,80.0,6,12.8,79,16,66,4,5,-17.5,0,22,Medium,32.9,28.1,2,0,16,32.9,Quarterly,26,36,34,52,4,Mostly Low,51,25.2,22.9,2.12,2.53,0.0,-20.4,3,Yes,No,0.6,100.0,4.0,0,0,Medium,Jul,Low,No,No,Yes,Director,1,No,High,1.69,3,3,No,2,41.9,71.4,Stable,High,Yes,High,22.6,Stable,No,No,None,No,Yes,Yes,No,No,No,Yes,0,2,2,33.9,4,1,2,1,-3.5,-9.4,-6.9,-13.4,-6.8,6.7,5.1,108,18.7,Stable,71.2,Yes,0,0,0,0,0,0,1,0,0
3,Zenith Solutions,20,SMB,500000,Professional Services,Professional Services - Sub2,South West,1,1,Public,Standalone,GDPR,No,No,Private Equity,5.0,36.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Zscaler,No,Co-Managed,8000,24,28,21,1,A la carte,15.0,10.4,40.4,1.17,6.1,1.0,1,495,5,1,80.0,3,36.5,48,10,658,2,1,15.8,5,31,Low,56.6,1.2,2,3,3,17.3,Quarterly,21,15,62,1,5,Mostly Low,45,-0.3,0.0,12.96,13.97,9.8,30.4,0,Unknown,Yes,13.7,100.0,10.5,1,0,High,Oct,Medium,Yes,Yes,No,C-Suite,2,No,None,1.98,26,1,No,2,38.2,44.4,Increasing,Medium,No,Medium,54.9,Stable,No,No,High,No,Yes,No,No,No,No,No,20,0,0,19.1,8,0,0,1,3.3,12.1,-2.2,-15.3,-9.4,-0.6,-13.0,4,2.0,Stable,20.1,Yes,0,0,0,0,0,0,0,0,0
4,Beacon & Co,23,SMB,1200000,Hospitality,Hospitality - Sub2,Northern Ireland,1,1,Private,Subsidiary,GDPR,No,No,N/A,26.4,73.0,0,0,0,0,0,0,0,0,1,0,0,0,0,Fortinet,No,Fully Managed,21900,24,41,4,2,Bundle,57.4,51.4,71.1,1.06,-8.4,2.63,14,50,13,1,43.6,2,68.6,56,13,125,1,0,0.7,13,18,Medium,15.7,21.2,2,2,51,47.8,Quarterly,79,29,47,11,2,Mostly High,33,-7.6,10.3,0.44,2.64,18.4,4.2,4,Yes,No,14.8,100.0,0.0,1,1,Low,Jan,High,No,No,Yes,Director,2,No,High,1.27,28,2,No,1,47.6,60.1,Increasing,Low,Yes,Medium,48.6,Decreasing,No,Yes,Low,No,No,No,No,No,No,No,1,3,1,38.3,0,0,1,1,13.8,30.4,-6.7,2.7,-2.1,-6.9,10.1,61,10.8,Worsening,38.2,No,0,0,0,0,0,1,0,0,0
5,Argent Ltd,6274,Enterprise,173600000,Education,Education - Sub1,South East,50,6,Private,Standalone,GDPR,No,No,N/A,5.6,77.4,1,0,0,0,0,0,0,0,1,0,0,0,0,Zscaler,No,Fully Managed,191600,24,33,3,3,A la carte,47.5,41.3,55.5,0.87,2.1,1.78,19,289,15,8,40.6,1,78.3,67,6,83,4,3,-8.4,13,15,Low,66.1,24.1,2,1,60,57.9,Annually,40,46,47,29,2,Mostly Low,37,-9.8,9.7,4.82,19.24,11.6,-11.1,1,Unknown,No,19.0,100.0,16.1,3,0,High,Apr,High,Yes,No,Yes,VP,1,No,Medium,1.48,2,1,No,2,77.3,17.1,Increasing,Medium,Yes,Low,25.3,Stable,No,No,Medium,Yes,Yes,No,No,No,No,Yes,0,2,0,60.3,6,0,0,0,-2.1,-7.4,-7.8,13.2,-9.3,1.3,-3.5,19,23.5,Stable,48.5,No,1,0,0,0,1,0,0,0,0
6,Anchor PLC,1678,Public Sector,35800000,Financial Services,Financial Services - Sub1,South East,15,2,Private,Subsidiary,FCA/PCI,No,No,N/A,12.3,76.0,0,0,0,0,1,1,1,0,0,0,0,0,0,Zscaler,No,Self-Managed,77700,24,23,0,4,Bundle,40.7,27.6,63.2,1.45,19.4,3.36,41,118,28,3,53.7,0,72.7,60,14,213,6,2,-14.4,12,19,Medium,54.0,39.1,0,4,23,41.3,Ad-hoc,15,61,63,41,5,Mostly Low,61,-27.5,29.5,16.87,23.72,42.6,7.8,1,No,No,-3.0,91.6,2.9,1,0,Low,Oct,Medium,Yes,No,No,C-Suite,3,No,Low,0.91,1,1,Yes,2,87.8,74.3,Stable,Low,Yes,Medium,49.5,Increasing,Yes,No,None,No,No,No,No,Yes,No,No,11,3,3,6.0,3,0,0,0,0.0,0.0,-7.8,-19.1,9.8,1.7,-4.6,29,15.0,Improving,33.0,No,0,0,0,0,0,0,0,0,0
7,Argent Industries,55,SMB,2400000,Media,Media - Sub3,Wales,1,1,Private,Subsidiary,GDPR,No,No,N/A,4.1,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Palo Alto Networks,No,Fully Managed,8000,36,14,6,3,Bundle,43.8,35.0,51.4,0.95,-21.8,2.65,1,77,2,1,48.4,2,17.4,70,14,183,3,2,-4.1,11,17,Medium,16.3,12.9,1,3,-7,46.3,Quarterly,28,4,52,16,8,Mostly Low,47,-11.6,13.2,1.45,13.23,26.1,6.5,0,Yes,No,5.5,81.2,4.7,0,0,Medium,Oct,Medium,No,No,No,None,1,No,Medium,0.95,55,1,Yes,0,51.2,62.2,Increasing,High,No,Medium,39.1,Increasing,No,No,None,No,Yes,No,No,No,No,No,7,3,3,27.1,7,1,2,0,4.9,11.2,-9.2,-11.3,2.5,1.8,5.7,138,8.1,Worsening,58.6,No,0,1,1,0,1,0,0,0,0
8,Acme PLC,132,SMB,3100000,Legal,Legal - Sub1,North,1,1,Private,Subsidiary,GDPR,No,No,Series B+,3.1,78.5,0,0,0,1,0,0,0,0,1,1,0,0,0,Versa Networks,No,Fully Managed,41800,12,33,23,4,Bundle,34.4,25.0,48.4,2.13,-7.8,1.62,26,297,4,1,59.6,3,64.5,106,28,9,4,3,11.2,2,32,Low,30.1,12.2,2,2,21,29.3,Ad-hoc,32,234,67,1,2,Mostly Low,57,34.1,15.1,0.24,1.51,27.3,-1.2,4,Yes,No,-6.9,91.1,3.5,3,0,Medium,Jan,Medium,No,No,Yes,Manager,5,No,Low,2.47,13,2,No,0,48.6,45.2,Increasing,Medium,Yes,Low,73.6,Increasing,Yes,No,Medium,No,No,No,No,No,No,No,6,3,1,6.1,4,0,0,1,1.2,4.7,8.0,3.5,8.8,-1.0,-0.7,36,2.0,Improving,44.4,No,0,1,0,0,0,0,0,0,0
9,Anchor Holdings,2259,Corporate,53800000,Education,Education - Sub1,North West,16,2,Private,Standalone,GDPR,No,No,N/A,-2.6,46.8,1,0,0,0,0,0,0,0,0,0,0,0,0,Cato Networks,No,Fully Managed,127300,24,31,19,4,Bundle,50.3,38.0,37.7,1.21,0.2,3.04,18,296,6,5,37.5,0,44.4,49,6,60,2,1,13.9,8,17,Low,11.0,18.8,0,0,43,56.1,Monthly,38,203,47,23,5,Mostly High,20,-19.3,19.6,0.85,3.05,29.9,-9.6,2,Unknown,No,-7.7,89.6,13.6,1,1,Medium,Oct,High,Yes,No,Yes,None,4,No,Low,2.2,13,0,No,3,58.8,48.5,Stable,Medium,Yes,Low,55.8,Stable,No,No,High,No,No,No,No,No,No,No,0,2,1,39.9,6,0,2,1,3.6,8.7,-3.8,2.2,-2.4,-10.8,-12.6,329,11.3,Stable,23.2,Yes,0,1,0,0,0,0,0,0,0
10,Orbit Industries,504,Mid-Market,26200000,Logistics,Logistics - Sub3,Northern Ireland,3,1,Private,Standalone,GDPR,No,No,N/A,9.2,46.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Zscaler,No,Co-Managed,20700,12,23,3,3,Bundle,37.1,30.3,78.7,1.41,-1.8,1.72,1,387,8,2,68.9,1,47.0,61,15,232,2,5,-17.2,7,24,Low,33.0,24.2,0,1,19,29.8,Monthly,18,5,42,25,5,Mixed,63,4.4,14.5,3.82,5.67,22.9,-31.1,2,Yes,No,18.2,70.6,15.4,3,0,Medium,Oct,Low,No,No,Yes,Director,2,No,High,0.2,1,3,No,2,52.9,5.0,Stable,Low,Unknown,Low,34.8,Stable,No,No,None,Yes,No,No,No,No,No,No,0,2,2,22.0,8,0,3,0,-1.0,-2.4,5.2,-2.6,-4.6,5.2,-15.3,258,2.0,Improving,40.3,No,0,0,0,0,0,1,0,0,0
